Date,Country,Distributor,Brand,Operator,Unit Cost,Amount,Unit Price,Sales,Year,Quarter,Month,Month Name,Month & Year,Week Day,Day Name,Week Number,Quarter (Q)
04-04-2021,Portugal,Metro,Apple,Tuenti,750,134,1200,160800,2021,2,4,Apr,Apr-21,7,Sun,14,Q2
05-08-2018,Switzerland,Plaza Vea,Apple,Tuenti,750,54,1200,64800,2018,3,8,Aug,Aug-18,7,Sun,31,Q3
28-04-2021,Guatemala,Metro,Apple,Tuenti,750,9,1200,10800,2021,2,4,Apr,Apr-21,3,Wed,18,Q2
22-12-2021,Spain,Ripley,Apple,Tuenti,750,48,1200,57600,2021,4,12,Dec,Dec-21,3,Wed,52,Q4
24-04-2018,Canada,Metro,Apple,Tuenti,750,91,1200,109200,2018,2,4,Apr,Apr-18,2,Tue,17,Q2
13-11-2021,Bolivia,Saga Falabella,Apple,Tuenti,750,32,1200,38400,2021,4,11,Nov,Nov-21,6,Sat,46,Q4
26-04-2018,Cuba,Ripley,Apple,Tuenti,750,85,1200,102000,2018,2,4,Apr,Apr-18,4,Thu,17,Q2
18-03-2018,Denmark,Ripley,Apple,Tuenti,750,64,1200,76800,2018,1,3,Mar,Mar-18,7,Sun,11,Q1
09-12-2021,El Salvador,Saga Falabella,Apple,Tuenti,750,23,1200,27600,2021,4,12,Dec,Dec-21,4,Thu,50,Q4
31-05-2018,Brasil,Metro,Apple,Tuenti,750,55,1200,66000,2018,2,5,May,May-18,4,Thu,22,Q2
17-01-2018,USA,Oeschle,Apple,Tuenti,750,230,1200,276000,2018,1,1,Jan,Jan-18,3,Wed,3,Q1
18-11-2021,Venezuela,Metro,Apple,Tuenti,750,98,1200,117600,2021,4,11,Nov,Nov-21,4,Thu,47,Q4
25-06-2019,Uruguay,Metro,Apple,Tuenti,750,38,1200,45600,2019,2,6,Jun,Jun-19,2,Tue,26,Q2
04-01-2020,United Kingdom,Tottus,Apple,Tuenti,750,114,1200,136800,2020,1,1,Jan,Jan-20,6,Sat,1,Q1
11-10-2019,El Salvador,Saga Falabella,Apple,Tuenti,750,24,1200,28800,2019,4,10,Oct,Oct-19,5,Fri,41,Q4
11-02-2019,Portugal,Ripley,Apple,Tuenti,750,39,1200,46800,2019,1,2,Feb,Feb-19,1,Mon,7,Q1
23-07-2020,Paraguay,Tottus,Apple,Tuenti,750,6,1200,7200,2020,3,7,Jul,Jul-20,4,Thu,30,Q3
27-09-2018,Switzerland,Ripley,Apple,Tuenti,750,47,1200,56400,2018,3,9,Sep,Sep-18,4,Thu,39,Q3
22-10-2021,Germany,Ripley,Apple,Tuenti,750,89,1200,106800,2021,4,10,Oct,Oct-21,5,Fri,43,Q4
01-09-2019,Colombia,Tottus,Apple,Tuenti,750,245,1200,294000,2019,3,9,Sep,Sep-19,7,Sun,35,Q3
11-05-2019,Denmark,Plaza Vea,Apple,Tuenti,750,109,1200,130800,2019,2,5,May,May-19,6,Sat,19,Q2
31-10-2018,Chile,Ripley,Apple,Tuenti,750,98,1200,117600,2018,4,10,Oct,Oct-18,3,Wed,44,Q4
30-09-2019,Brasil,Tottus,Apple,Tuenti,750,280,1200,336000,2019,3,9,Sep,Sep-19,1,Mon,40,Q3
10-10-2021,Germany,Oeschle,Apple,Tuenti,750,187,1200,224400,2021,4,10,Oct,Oct-21,7,Sun,41,Q4
09-06-2018,El Salvador,Ripley,Apple,Tuenti,750,86,1200,103200,2018,2,6,Jun,Jun-18,6,Sat,23,Q2
24-05-2018,Colombia,Metro,Apple,Tuenti,750,89,1200,106800,2018,2,5,May,May-18,4,Thu,21,Q2
31-05-2020,El Salvador,Saga Falabella,Apple,Tuenti,750,34,1200,40800,2020,2,5,May,May-20,7,Sun,22,Q2
30-08-2021,Switzerland,Metro,Apple,Tuenti,750,18,1200,21600,2021,3,8,Aug,Aug-21,1,Mon,36,Q3
03-08-2021,Mexico,Oeschle,Apple,Tuenti,750,129,1200,154800,2021,3,8,Aug,Aug-21,2,Tue,32,Q3
21-03-2018,Paraguay,Ripley,Apple,Tuenti,750,95,1200,114000,2018,1,3,Mar,Mar-18,3,Wed,12,Q1
21-01-2018,Cuba,Ripley,Apple,Tuenti,750,25,1200,30000,2018,1,1,Jan,Jan-18,7,Sun,3,Q1
03-04-2021,Cuba,Ripley,Apple,Tuenti,750,19,1200,22800,2021,2,4,Apr,Apr-21,6,Sat,14,Q2
31-10-2020,Jamaica,Oeschle,Apple,Tuenti,750,50,1200,60000,2020,4,10,Oct,Oct-20,6,Sat,44,Q4
19-09-2019,USA,Saga Falabella,Apple,Tuenti,750,16,1200,19200,2019,3,9,Sep,Sep-19,4,Thu,38,Q3
08-06-2019,El Salvador,Metro,Apple,Tuenti,750,15,1200,18000,2019,2,6,Jun,Jun-19,6,Sat,23,Q2
14-10-2021,USA,Plaza Vea,Apple,Tuenti,750,185,1200,222000,2021,4,10,Oct,Oct-21,4,Thu,42,Q4
09-05-2021,USA,Metro,Apple,Tuenti,750,89,1200,106800,2021,2,5,May,May-21,7,Sun,19,Q2
06-07-2019,Colombia,Tottus,Apple,Tuenti,750,250,1200,300000,2019,3,7,Jul,Jul-19,6,Sat,27,Q3
03-06-2020,Cuba,Plaza Vea,Apple,Tuenti,750,94,1200,112800,2020,2,6,Jun,Jun-20,3,Wed,23,Q2
03-12-2021,Ireland,Oeschle,Apple,Tuenti,750,31,1200,37200,2021,4,12,Dec,Dec-21,5,Fri,49,Q4
21-02-2020,Cuba,Saga Falabella,Apple,Tuenti,750,39,1200,46800,2020,1,2,Feb,Feb-20,5,Fri,8,Q1
23-02-2021,Chile,Ripley,Apple,Tuenti,750,60,1200,72000,2021,1,2,Feb,Feb-21,2,Tue,9,Q1
06-09-2019,Spain,Plaza Vea,Apple,Tuenti,750,166,1200,199200,2019,3,9,Sep,Sep-19,5,Fri,36,Q3
22-12-2018,Germany,Tottus,Apple,Tuenti,750,130,1200,156000,2018,4,12,Dec,Dec-18,6,Sat,51,Q4
13-05-2018,Cuba,Oeschle,Apple,Tuenti,750,57,1200,68400,2018,2,5,May,May-18,7,Sun,19,Q2
26-07-2019,Denmark,Saga Falabella,Apple,Tuenti,750,16,1200,19200,2019,3,7,Jul,Jul-19,5,Fri,30,Q3
31-01-2020,Denmark,Plaza Vea,Apple,Tuenti,750,69,1200,82800,2020,1,1,Jan,Jan-20,5,Fri,5,Q1
30-07-2021,Colombia,Oeschle,Apple,Tuenti,750,157,1200,188400,2021,3,7,Jul,Jul-21,5,Fri,31,Q3
09-11-2019,Uruguay,Ripley,Apple,Tuenti,750,53,1200,63600,2019,4,11,Nov,Nov-19,6,Sat,45,Q4
12-06-2021,El Salvador,Metro,Apple,Tuenti,750,138,1200,165600,2021,2,6,Jun,Jun-21,6,Sat,24,Q2
27-05-2021,Venezuela,Metro,Apple,Tuenti,750,92,1200,110400,2021,2,5,May,May-21,4,Thu,22,Q2
19-06-2018,Portugal,Metro,Apple,Tuenti,750,135,1200,162000,2018,2,6,Jun,Jun-18,2,Tue,25,Q2
13-09-2018,Switzerland,Plaza Vea,Apple,Tuenti,750,176,1200,211200,2018,3,9,Sep,Sep-18,4,Thu,37,Q3
01-01-2019,Denmark,Oeschle,Apple,Tuenti,750,105,1200,126000,2019,1,1,Jan,Jan-19,2,Tue,1,Q1
08-01-2019,Brasil,Plaza Vea,Apple,Tuenti,750,153,1200,183600,2019,1,1,Jan,Jan-19,2,Tue,2,Q1
27-06-2018,Brasil,Metro,Apple,Tuenti,750,86,1200,103200,2018,2,6,Jun,Jun-18,3,Wed,26,Q2
27-03-2018,El Salvador,Oeschle,Apple,Tuenti,750,126,1200,151200,2018,1,3,Mar,Mar-18,2,Tue,13,Q1
28-10-2020,Germany,Tottus,Apple,Tuenti,750,64,1200,76800,2020,4,10,Oct,Oct-20,3,Wed,44,Q4
23-12-2021,Jamaica,Saga Falabella,Apple,Tuenti,750,5,1200,6000,2021,4,12,Dec,Dec-21,4,Thu,52,Q4
04-04-2021,Portugal,Metro,Apple,Tuenti,750,134,1200,160800,2021,2,4,Apr,Apr-21,7,Sun,14,Q2
05-08-2018,Switzerland,Plaza Vea,Apple,Tuenti,750,54,1200,64800,2018,3,8,Aug,Aug-18,7,Sun,31,Q3
28-04-2021,Guatemala,Metro,Apple,Tuenti,750,9,1200,10800,2021,2,4,Apr,Apr-21,3,Wed,18,Q2
22-12-2021,Spain,Ripley,Apple,Tuenti,750,48,1200,57600,2021,4,12,Dec,Dec-21,3,Wed,52,Q4
24-04-2018,Canada,Metro,Apple,Tuenti,750,91,1200,109200,2018,2,4,Apr,Apr-18,2,Tue,17,Q2
13-11-2021,Bolivia,Saga Falabella,Apple,Tuenti,750,32,1200,38400,2021,4,11,Nov,Nov-21,6,Sat,46,Q4
26-04-2018,Cuba,Ripley,Apple,Tuenti,750,85,1200,102000,2018,2,4,Apr,Apr-18,4,Thu,17,Q2
18-03-2018,Denmark,Ripley,Apple,Tuenti,750,64,1200,76800,2018,1,3,Mar,Mar-18,7,Sun,11,Q1
09-12-2021,El Salvador,Saga Falabella,Apple,Tuenti,750,23,1200,27600,2021,4,12,Dec,Dec-21,4,Thu,50,Q4
31-05-2018,Brasil,Metro,Apple,Tuenti,750,55,1200,66000,2018,2,5,May,May-18,4,Thu,22,Q2
17-01-2018,USA,Oeschle,Apple,Tuenti,750,230,1200,276000,2018,1,1,Jan,Jan-18,3,Wed,3,Q1
18-11-2021,Venezuela,Metro,Apple,Tuenti,750,98,1200,117600,2021,4,11,Nov,Nov-21,4,Thu,47,Q4
25-06-2019,Uruguay,Metro,Apple,Tuenti,750,38,1200,45600,2019,2,6,Jun,Jun-19,2,Tue,26,Q2
04-01-2020,United Kingdom,Tottus,Apple,Tuenti,750,114,1200,136800,2020,1,1,Jan,Jan-20,6,Sat,1,Q1
11-10-2019,El Salvador,Saga Falabella,Apple,Tuenti,750,24,1200,28800,2019,4,10,Oct,Oct-19,5,Fri,41,Q4
11-02-2019,Portugal,Ripley,Apple,Tuenti,750,39,1200,46800,2019,1,2,Feb,Feb-19,1,Mon,7,Q1
23-07-2020,Paraguay,Tottus,Apple,Tuenti,750,6,1200,7200,2020,3,7,Jul,Jul-20,4,Thu,30,Q3
27-09-2018,Switzerland,Ripley,Apple,Tuenti,750,47,1200,56400,2018,3,9,Sep,Sep-18,4,Thu,39,Q3
22-10-2021,Germany,Ripley,Apple,Tuenti,750,89,1200,106800,2021,4,10,Oct,Oct-21,5,Fri,43,Q4
01-09-2019,Colombia,Tottus,Apple,Tuenti,750,245,1200,294000,2019,3,9,Sep,Sep-19,7,Sun,35,Q3
11-05-2019,Denmark,Plaza Vea,Apple,Tuenti,750,109,1200,130800,2019,2,5,May,May-19,6,Sat,19,Q2
31-10-2018,Chile,Ripley,Apple,Tuenti,750,98,1200,117600,2018,4,10,Oct,Oct-18,3,Wed,44,Q4
30-09-2019,Brasil,Tottus,Apple,Tuenti,750,280,1200,336000,2019,3,9,Sep,Sep-19,1,Mon,40,Q3
10-10-2021,Germany,Oeschle,Apple,Tuenti,750,187,1200,224400,2021,4,10,Oct,Oct-21,7,Sun,41,Q4
09-06-2018,El Salvador,Ripley,Apple,Tuenti,750,86,1200,103200,2018,2,6,Jun,Jun-18,6,Sat,23,Q2
22-01-2021,Portugal,Ripley,Apple,Bitel,750,7,1200,8400,2021,1,1,Jan,Jan-21,5,Fri,4,Q1
14-08-2021,Mexico,Oeschle,Apple,Bitel,750,114,1200,136800,2021,3,8,Aug,Aug-21,6,Sat,33,Q3
20-11-2020,Paraguay,Ripley,Apple,Bitel,750,57,1200,68400,2020,4,11,Nov,Nov-20,5,Fri,47,Q4
13-10-2021,Venezuela,Oeschle,Apple,Bitel,750,66,1200,79200,2021,4,10,Oct,Oct-21,3,Wed,42,Q4
22-08-2020,Germany,Saga Falabella,Apple,Bitel,750,20,1200,24000,2020,3,8,Aug,Aug-20,6,Sat,34,Q3
17-03-2018,El Salvador,Plaza Vea,Apple,Bitel,750,14,1200,16800,2018,1,3,Mar,Mar-18,6,Sat,11,Q1
19-12-2020,USA,Plaza Vea,Apple,Bitel,750,10,1200,12000,2020,4,12,Dec,Dec-20,6,Sat,51,Q4
24-02-2021,Brasil,Oeschle,Apple,Bitel,750,8,1200,9600,2021,1,2,Feb,Feb-21,3,Wed,9,Q1
13-02-2019,Paraguay,Plaza Vea,Apple,Bitel,750,50,1200,60000,2019,1,2,Feb,Feb-19,3,Wed,7,Q1
22-12-2018,Guatemala,Plaza Vea,Apple,Bitel,750,60,1200,72000,2018,4,12,Dec,Dec-18,6,Sat,51,Q4
07-01-2019,Germany,Tottus,Apple,Bitel,750,36,1200,43200,2019,1,1,Jan,Jan-19,1,Mon,2,Q1
23-09-2018,Canada,Ripley,Apple,Bitel,750,44,1200,52800,2018,3,9,Sep,Sep-18,7,Sun,38,Q3
24-11-2021,Paraguay,Tottus,Apple,Bitel,750,151,1200,181200,2021,4,11,Nov,Nov-21,3,Wed,48,Q4
31-10-2020,Ireland,Ripley,Apple,Bitel,750,49,1200,58800,2020,4,10,Oct,Oct-20,6,Sat,44,Q4
20-07-2020,Spain,Metro,Apple,Bitel,750,81,1200,97200,2020,3,7,Jul,Jul-20,1,Mon,30,Q3
12-05-2021,Germany,Metro,Apple,Bitel,750,63,1200,75600,2021,2,5,May,May-21,3,Wed,20,Q2
21-04-2018,Peru,Plaza Vea,Apple,Bitel,750,39,1200,46800,2018,2,4,Apr,Apr-18,6,Sat,16,Q2
29-06-2020,Denmark,Oeschle,Apple,Bitel,750,103,1200,123600,2020,2,6,Jun,Jun-20,1,Mon,27,Q2
07-08-2021,Paraguay,Metro,Apple,Bitel,750,75,1200,90000,2021,3,8,Aug,Aug-21,6,Sat,32,Q3
22-10-2021,Denmark,Plaza Vea,Apple,Bitel,750,15,1200,18000,2021,4,10,Oct,Oct-21,5,Fri,43,Q4
20-09-2018,Argentina,Tottus,Apple,Bitel,750,161,1200,193200,2018,3,9,Sep,Sep-18,4,Thu,38,Q3
03-09-2021,Peru,Plaza Vea,Apple,Bitel,750,27,1200,32400,2021,3,9,Sep,Sep-21,5,Fri,36,Q3
18-05-2020,Jamaica,Metro,Apple,Bitel,750,56,1200,67200,2020,2,5,May,May-20,1,Mon,21,Q2
04-11-2020,Jamaica,Plaza Vea,Apple,Bitel,750,93,1200,111600,2020,4,11,Nov,Nov-20,3,Wed,45,Q4
16-02-2021,United Kingdom,Ripley,Apple,Bitel,750,44,1200,52800,2021,1,2,Feb,Feb-21,2,Tue,8,Q1
26-06-2021,Ireland,Ripley,Apple,Bitel,750,3,1200,3600,2021,2,6,Jun,Jun-21,6,Sat,26,Q2
23-09-2021,Venezuela,Ripley,Apple,Bitel,750,51,1200,61200,2021,3,9,Sep,Sep-21,4,Thu,39,Q3
13-05-2018,Argentina,Ripley,Apple,Bitel,750,22,1200,26400,2018,2,5,May,May-18,7,Sun,19,Q2
01-09-2021,Ireland,Saga Falabella,Apple,Bitel,750,16,1200,19200,2021,3,9,Sep,Sep-21,3,Wed,36,Q3
05-02-2019,France,Oeschle,Apple,Bitel,750,117,1200,140400,2019,1,2,Feb,Feb-19,2,Tue,6,Q1
10-01-2021,Jamaica,Saga Falabella,Apple,Bitel,750,1,1200,1200,2021,1,1,Jan,Jan-21,7,Sun,2,Q1
20-10-2018,Spain,Plaza Vea,Apple,Bitel,750,73,1200,87600,2018,4,10,Oct,Oct-18,6,Sat,42,Q4
14-05-2019,Canada,Ripley,Apple,Bitel,750,55,1200,66000,2019,2,5,May,May-19,2,Tue,20,Q2
28-03-2020,Brasil,Ripley,Apple,Bitel,750,28,1200,33600,2020,1,3,Mar,Mar-20,6,Sat,13,Q1
17-05-2020,France,Saga Falabella,Apple,Bitel,750,3,1200,3600,2020,2,5,May,May-20,7,Sun,20,Q2
26-02-2019,Peru,Ripley,Apple,Bitel,750,27,1200,32400,2019,1,2,Feb,Feb-19,2,Tue,9,Q1
15-04-2020,Ireland,Saga Falabella,Apple,Bitel,750,14,1200,16800,2020,2,4,Apr,Apr-20,3,Wed,16,Q2
23-12-2019,Chile,Ripley,Apple,Bitel,750,14,1200,16800,2019,4,12,Dec,Dec-19,1,Mon,52,Q4
07-07-2019,Mexico,Saga Falabella,Apple,Bitel,750,16,1200,19200,2019,3,7,Jul,Jul-19,7,Sun,27,Q3
18-12-2019,United Kingdom,Tottus,Apple,Bitel,750,131,1200,157200,2019,4,12,Dec,Dec-19,3,Wed,51,Q4
14-11-2021,Bolivia,Ripley,Apple,Bitel,750,22,1200,26400,2021,4,11,Nov,Nov-21,7,Sun,46,Q4
05-10-2020,El Salvador,Ripley,Apple,Bitel,750,1,1200,1200,2020,4,10,Oct,Oct-20,1,Mon,41,Q4
12-11-2021,Canada,Saga Falabella,Apple,Bitel,750,7,1200,8400,2021,4,11,Nov,Nov-21,5,Fri,46,Q4
03-01-2020,Germany,Metro,Apple,Bitel,750,87,1200,104400,2020,1,1,Jan,Jan-20,5,Fri,1,Q1
07-07-2019,Switzerland,Plaza Vea,Apple,Bitel,750,23,1200,27600,2019,3,7,Jul,Jul-19,7,Sun,27,Q3
15-03-2021,Mexico,Saga Falabella,Apple,Bitel,750,14,1200,16800,2021,1,3,Mar,Mar-21,1,Mon,12,Q1
08-12-2021,Jamaica,Oeschle,Apple,Bitel,750,14,1200,16800,2021,4,12,Dec,Dec-21,3,Wed,50,Q4
20-10-2021,Argentina,Saga Falabella,Apple,Bitel,750,11,1200,13200,2021,4,10,Oct,Oct-21,3,Wed,43,Q4
18-01-2018,Uruguay,Oeschle,Apple,Bitel,750,68,1200,81600,2018,1,1,Jan,Jan-18,4,Thu,3,Q1
09-07-2019,Spain,Saga Falabella,Apple,Bitel,750,1,1200,1200,2019,3,7,Jul,Jul-19,2,Tue,28,Q3
01-10-2018,Venezuela,Tottus,Apple,Bitel,750,66,1200,79200,2018,4,10,Oct,Oct-18,1,Mon,40,Q4
22-01-2021,Portugal,Ripley,Apple,Bitel,750,7,1200,8400,2021,1,1,Jan,Jan-21,5,Fri,4,Q1
14-08-2021,Mexico,Oeschle,Apple,Bitel,750,114,1200,136800,2021,3,8,Aug,Aug-21,6,Sat,33,Q3
20-11-2020,Paraguay,Ripley,Apple,Bitel,750,57,1200,68400,2020,4,11,Nov,Nov-20,5,Fri,47,Q4
13-10-2021,Venezuela,Oeschle,Apple,Bitel,750,66,1200,79200,2021,4,10,Oct,Oct-21,3,Wed,42,Q4
22-08-2020,Germany,Saga Falabella,Apple,Bitel,750,20,1200,24000,2020,3,8,Aug,Aug-20,6,Sat,34,Q3
17-03-2018,El Salvador,Plaza Vea,Apple,Bitel,750,14,1200,16800,2018,1,3,Mar,Mar-18,6,Sat,11,Q1
19-12-2020,USA,Plaza Vea,Apple,Bitel,750,10,1200,12000,2020,4,12,Dec,Dec-20,6,Sat,51,Q4
24-02-2021,Brasil,Oeschle,Apple,Bitel,750,8,1200,9600,2021,1,2,Feb,Feb-21,3,Wed,9,Q1
13-02-2019,Paraguay,Plaza Vea,Apple,Bitel,750,50,1200,60000,2019,1,2,Feb,Feb-19,3,Wed,7,Q1
22-12-2018,Guatemala,Plaza Vea,Apple,Bitel,750,60,1200,72000,2018,4,12,Dec,Dec-18,6,Sat,51,Q4
07-01-2019,Germany,Tottus,Apple,Bitel,750,36,1200,43200,2019,1,1,Jan,Jan-19,1,Mon,2,Q1
23-09-2018,Canada,Ripley,Apple,Bitel,750,44,1200,52800,2018,3,9,Sep,Sep-18,7,Sun,38,Q3
24-11-2021,Paraguay,Tottus,Apple,Bitel,750,151,1200,181200,2021,4,11,Nov,Nov-21,3,Wed,48,Q4
31-10-2020,Ireland,Ripley,Apple,Bitel,750,49,1200,58800,2020,4,10,Oct,Oct-20,6,Sat,44,Q4
20-07-2020,Spain,Metro,Apple,Bitel,750,81,1200,97200,2020,3,7,Jul,Jul-20,1,Mon,30,Q3
12-05-2021,Germany,Metro,Apple,Bitel,750,63,1200,75600,2021,2,5,May,May-21,3,Wed,20,Q2
21-04-2018,Peru,Plaza Vea,Apple,Bitel,750,39,1200,46800,2018,2,4,Apr,Apr-18,6,Sat,16,Q2
29-06-2020,Denmark,Oeschle,Apple,Bitel,750,103,1200,123600,2020,2,6,Jun,Jun-20,1,Mon,27,Q2
07-08-2021,Paraguay,Metro,Apple,Bitel,750,75,1200,90000,2021,3,8,Aug,Aug-21,6,Sat,32,Q3
22-10-2021,Denmark,Plaza Vea,Apple,Bitel,750,15,1200,18000,2021,4,10,Oct,Oct-21,5,Fri,43,Q4
20-09-2018,Argentina,Tottus,Apple,Bitel,750,161,1200,193200,2018,3,9,Sep,Sep-18,4,Thu,38,Q3
03-09-2021,Peru,Plaza Vea,Apple,Bitel,750,27,1200,32400,2021,3,9,Sep,Sep-21,5,Fri,36,Q3
18-05-2020,Jamaica,Metro,Apple,Bitel,750,56,1200,67200,2020,2,5,May,May-20,1,Mon,21,Q2
04-11-2020,Jamaica,Plaza Vea,Apple,Bitel,750,93,1200,111600,2020,4,11,Nov,Nov-20,3,Wed,45,Q4
16-02-2021,United Kingdom,Ripley,Apple,Bitel,750,44,1200,52800,2021,1,2,Feb,Feb-21,2,Tue,8,Q1
26-06-2021,Ireland,Ripley,Apple,Bitel,750,3,1200,3600,2021,2,6,Jun,Jun-21,6,Sat,26,Q2
23-09-2021,Venezuela,Ripley,Apple,Bitel,750,51,1200,61200,2021,3,9,Sep,Sep-21,4,Thu,39,Q3
13-05-2018,Argentina,Ripley,Apple,Bitel,750,22,1200,26400,2018,2,5,May,May-18,7,Sun,19,Q2
01-09-2021,Ireland,Saga Falabella,Apple,Bitel,750,16,1200,19200,2021,3,9,Sep,Sep-21,3,Wed,36,Q3
05-02-2019,France,Oeschle,Apple,Bitel,750,117,1200,140400,2019,1,2,Feb,Feb-19,2,Tue,6,Q1
10-01-2021,Jamaica,Saga Falabella,Apple,Bitel,750,1,1200,1200,2021,1,1,Jan,Jan-21,7,Sun,2,Q1
20-10-2018,Spain,Plaza Vea,Apple,Bitel,750,73,1200,87600,2018,4,10,Oct,Oct-18,6,Sat,42,Q4
14-05-2019,Canada,Ripley,Apple,Bitel,750,55,1200,66000,2019,2,5,May,May-19,2,Tue,20,Q2
28-03-2020,Brasil,Ripley,Apple,Bitel,750,28,1200,33600,2020,1,3,Mar,Mar-20,6,Sat,13,Q1
17-05-2020,France,Saga Falabella,Apple,Bitel,750,3,1200,3600,2020,2,5,May,May-20,7,Sun,20,Q2
26-02-2019,Peru,Ripley,Apple,Bitel,750,27,1200,32400,2019,1,2,Feb,Feb-19,2,Tue,9,Q1
15-04-2020,Ireland,Saga Falabella,Apple,Bitel,750,14,1200,16800,2020,2,4,Apr,Apr-20,3,Wed,16,Q2
23-12-2019,Chile,Ripley,Apple,Bitel,750,14,1200,16800,2019,4,12,Dec,Dec-19,1,Mon,52,Q4
07-07-2019,Mexico,Saga Falabella,Apple,Bitel,750,16,1200,19200,2019,3,7,Jul,Jul-19,7,Sun,27,Q3
18-12-2019,United Kingdom,Tottus,Apple,Bitel,750,131,1200,157200,2019,4,12,Dec,Dec-19,3,Wed,51,Q4
